number,name,status
2,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Active
251,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
349,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3115,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
292,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
238,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3114,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
722,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
562,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
297,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
8104,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
242,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
256,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
284,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
433,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
412,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
660,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
452,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
378,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
730,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
580,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
481,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Withdrawn
650,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
223,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
588,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Draft
530,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
649,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
681,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
212,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
497,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Rejected
239,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
499,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
3127,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
352,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
240,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
640,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
551,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Withdrawn
273,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
476,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
316,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
358,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
372,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
221,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
439,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
621,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
612,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
568,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
474,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Withdrawn
231,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3120,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
208,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
521,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
207,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
547,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
483,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
629,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
522,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
555,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
712,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
4,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Active
3151,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
591,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
571,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Superseded
627,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
