number,name,status
696,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
267,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
678,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
227,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
689,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
559,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
313,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
160,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
443,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
731,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Active
402,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
528,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
285,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
221,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
219,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
619,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
306,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Withdrawn
270,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
607,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
601,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
394,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
8000,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
645,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
301,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
